StellarMass, Density, Dens_up, Dens_down
5.233,       -1.1578, -0.9564, -1.3593
5.700,       -0.8612, -0.7205, -1.0019
6.167,       -0.9412, -0.7873, -1.0952
6.633,       -1.1015, -0.9127, -1.2904
7.100,       -1.1898, -0.9778, -1.4017
7.308,       -1.2024, -1.0244, -1.3805
7.528,       -1.5414, -1.3445, -1.7383
7.744,       -1.3254, -1.1874, -1.4635
7.958,       -1.4859, -1.3490, -1.6228
8.198,       -1.5099, -1.4009, -1.6189
8.506,       -1.7191, -1.6391, -1.7992
8.748,       -1.8023, -1.7063, -1.8983
8.995,       -1.9130, -1.8358, -1.9902
9.225,       -1.9922, -1.9237, -2.0607
9.484,       -2.0655, -2.0021, -2.1290
9.759,       -2.1779, -2.1006, -2.2552
9.976,       -2.1896, -2.1298, -2.2493
10.234,      -2.2667, -2.1983, -2.3351
10.489,      -2.2796, -2.2242, -2.3351
10.739,      -2.4748, -2.4006, -2.5489
10.975,      -2.6970, -2.6399, -2.7541
11.220,      -3.1690, -3.0981, -3.2400
11.483,      -3.8379, -3.7763, -3.8995
11.733,      -4.7683, -4.6912, -4.8453
11.983,      -6.0591, -5.9778, -6.1404
12.183,      -7.1393, -6.8773, -7.4012
